submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2021-08-03,3270,15,25164.0,105.2,9539.0,90.4,0.0,0.0,1892720.0,8595364.0,41492726.0,22621.0
2021-08-04,4183,19,31471.0,105.4,12873.0,90.6,0.0,0.0,1840421.0,8647663.0,44421620.0,24808.0
2021-08-05,4937,17,33111.0,105.69999999999999,13513.0,90.6,0.0,0.0,2026573.0,8461511.0,37121028.0,22203.0
2021-08-06,4734,28,33981.0,106.1,14778.0,90.80000000000001,0.0,0.0,1826469.0,8661615.0,41839103.0,24203.0
2021-08-07,5029,18,36333.0,106.4,14704.0,91.0,0.0,0.0,1973962.0,8514122.0,38311301.0,22617.0
2021-08-08,3762,18,24396.0,106.69999999999999,11258.0,91.1,0.0,0.0,2147904.0,8340180.0,34644434.0,27459.0
2021-08-09,3012,18,23655.0,106.9,11112.0,91.19999999999999,0.0,0.0,1948353.0,8539731.0,41696062.0,23832.0
2021-08-10,4380,19,25008.0,107.1,11649.0,91.3,0.0,0.0,1869224.0,8618860.0,41606546.0,23132.0
2021-08-11,5479,32,28082.0,107.4,13998.0,91.4,0.0,0.0,1911451.0,8576633.0,40461969.0,22035.0
2021-08-12,6643,31,36075.0,107.8,19179.0,91.6,0.0,0.0,1920185.0,8567899.0,33888308.0,18912.0
2021-08-13,6160,37,35359.0,108.0,19506.0,91.7,122.0,0.0,1868614.0,8619470.0,41478634.0,24279.0
2021-08-14,5870,31,39635.0,108.5,20411.0,92.0,348.0,0.0,1915193.0,8572891.0,38574891.0,21924.0
2021-08-15,4879,34,17176.0,108.6,10587.0,92.1,302.0,0.0,1982693.0,8505391.0,30629927.0,22543.0
2021-08-16,3543,41,36759.0,109.0,21019.0,92.3,947.0,0.0,1913866.0,8574218.0,40727526.0,21855.0
2021-08-17,4812,43,28494.0,109.2,15971.0,92.5,1258.0,0.1,1929482.0,8558602.0,40659762.0,21580.0
2021-08-18,6081,57,36081.0,109.6,20149.0,92.6,1594.0,0.1,2014486.0,8473598.0,38260390.0,21202.0
2021-08-19,6989,37,37691.0,109.9,21877.0,92.8,1775.0,0.1,1886777.0,8601307.0,41426312.0,22240.0
2021-08-20,6693,37,38892.0,110.3,25826.0,93.0,1918.0,0.2,1865091.0,8622993.0,41836371.0,22895.0
2021-08-21,6569,59,29872.0,110.6,20212.0,93.3,825.0,0.2,1937228.0,8550856.0,38443199.0,21163.0
2021-08-22,5486,45,23928.0,110.8,17996.0,93.5,267.0,0.2,2098016.0,8390068.0,34005336.0,24154.0
2021-08-23,4544,58,28317.0,111.1,20779.0,93.7,1449.0,0.2,1951566.0,8536518.0,41261099.0,21482.0
2021-08-24,5902,64,38054.0,111.5,25834.0,93.9,1919.0,0.3,1857650.0,8630434.0,37672041.0,20929.0
2021-08-25,7940,55,34194.0,111.8,24714.0,94.1,2141.0,0.3,1861924.0,8626160.0,36692204.0,18863.0
2021-08-26,8197,48,36323.0,112.1,25337.0,94.4,2724.0,0.3,1897650.0,8590434.0,34121234.0,18451.0
2021-08-27,7946,67,39808.0,112.5,30627.0,94.6,2572.0,0.4,1827538.0,8660546.0,38188815.0,23663.0
2021-08-28,8056,68,31308.0,112.8,23351.0,94.8,1132.0,0.4,1906213.0,8581871.0,33753834.0,21060.0
2021-08-29,6178,58,26813.0,113.1,22047.0,95.1,246.0,0.4,1982689.0,8505395.0,30859767.0,25331.0
2021-08-30,4687,70,29935.0,113.4,23287.0,95.3,1964.0,0.5,1849049.0,8639035.0,36001883.0,23323.0
2021-08-31,6828,61,27948.0,113.7,20815.0,95.5,2380.0,0.5,1872197.0,8615887.0,38776756.0,20941.0
2021-09-01,7498,81,34278.0,113.9,24542.0,95.8,2755.0,0.6,1962116.0,8525968.0,36651871.0,17851.0
2021-09-02,8780,69,34731.0,114.3,25468.0,96.0,2729.0,0.6,2004686.0,8483398.0,35011815.0,18673.0
2021-09-03,8647,74,48656.0,114.8,37212.0,96.4,2612.0,0.7,1947225.0,8540859.0,36000665.0,21114.0
2021-09-04,7981,85,27178.0,115.0,21123.0,96.6,428.0,0.7,1866477.0,8621607.0,40954596.0,24295.0
2021-09-05,6274,74,23819.0,115.2,20024.0,96.7,187.0,0.7,1940685.0,8547399.0,41292237.0,23506.0
2021-09-06,5189,65,11658.0,115.4,9327.0,96.80000000000001,145.0,0.7,2028040.0,8460044.0,36924128.0,19828.0
2021-09-07,3823,68,20660.0,115.5,21407.0,97.0,2237.0,0.7,1903073.0,8585011.0,39002833.0,21153.0
2021-09-08,5372,69,29304.0,115.8,23001.0,97.2,2034.0,0.7,1884703.0,8603381.0,39135416.0,23142.0
2021-09-09,7807,69,39817.0,116.2,38583.0,97.7,2248.0,0.8,1851045.0,8637039.0,35219960.0,21575.0
2021-09-10,8323,66,35052.0,116.5,30970.0,97.9,2171.0,0.8,1771775.0,8716309.0,36906892.0,23240.0
2021-09-11,8075,82,25672.0,116.8,21796.0,98.1,556.0,0.8,1940468.0,8547616.0,36972140.0,22160.0
2021-09-12,6135,66,24943.0,117.0,21763.0,98.4,219.0,0.8,2025421.0,8462663.0,34202456.0,25610.0
2021-09-13,4799,83,22215.0,117.2,20576.0,98.5,1341.0,0.9,1880278.0,8607806.0,37652501.0,21914.0
2021-09-14,6275,84,24750.0,117.4,22550.0,98.7,1687.0,0.9,1989092.0,8498992.0,38024687.0,21186.0
2021-09-15,6898,81,25624.0,117.69999999999999,25278.0,98.9,1728.0,0.9,1887125.0,8600959.0,43296204.0,23245.0
2021-09-16,7872,73,25771.0,118.0,25813.0,99.3,1887.0,1.0,1917345.0,8570739.0,42112631.0,23219.0
2021-09-17,7203,80,27516.0,118.2,29783.0,99.5,1847.0,1.0,1791739.0,8696345.0,38429195.0,21565.0
2021-09-18,5953,69,20551.0,118.4,21041.0,99.7,401.0,1.0,1940055.0,8548029.0,38635595.0,21942.0
2021-09-19,4928,60,21360.0,118.69999999999999,23576.0,99.9,216.0,1.0,2079362.0,8408722.0,33862565.0,24585.0
2021-09-20,3701,67,19033.0,118.8,21147.0,100.19999999999999,1473.0,1.0,1923453.0,8564631.0,35948131.0,19704.0
2021-09-21,5576,60,17843.0,119.0,19012.0,100.3,1856.0,1.0,1940637.0,8547447.0,37768943.0,20290.0
2021-09-22,5290,57,21441.0,119.2,23530.0,100.5,1810.0,1.1,1903186.0,8584898.0,34914238.0,18281.0
2021-09-23,6280,65,22056.0,119.4,24014.0,100.7,2336.0,1.1,1901726.0,8586358.0,36865676.0,20176.0
2021-09-24,5506,77,25781.0,119.6,26779.0,101.1,5176.0,1.2,1852915.0,8635169.0,37592065.0,22811.0
2021-09-25,5281,66,27523.0,119.9,20001.0,101.19999999999999,2915.0,1.3,1922919.0,8565165.0,33509636.0,20357.0
2021-09-26,4208,69,21016.0,120.1,17282.0,101.4,1587.0,1.3,2026824.0,8461260.0,28549463.0,21744.0
2021-09-27,2688,64,51527.0,120.6,27027.0,101.6,8479.0,1.4,1932874.0,8555210.0,35622254.0,21031.0
2021-09-28,3971,60,31584.0,120.9,14434.0,101.7,12503.0,1.7,1946352.0,8541732.0,35627402.0,19572.0
2021-09-29,4417,70,42897.0,121.30000000000001,19215.0,102.0,11783.0,1.9,1937831.0,8550253.0,34753637.0,20833.0
2021-09-30,5043,60,37870.0,121.69999999999999,20901.0,102.19999999999999,13634.0,2.1,1946607.0,8541477.0,34954716.0,19441.0
2021-10-01,4270,57,37647.0,122.1,25138.0,102.4,14675.0,2.4,1903428.0,8584656.0,37666358.0,20595.0
2021-10-02,4751,52,22747.0,122.2,15367.0,102.6,3898.0,2.5,1970936.0,8517148.0,33098621.0,18457.0
2021-10-03,2969,68,22576.0,122.4,15794.0,102.7,1542.0,2.5,2007601.0,8480483.0,30723055.0,23190.0
2021-10-04,2216,56,26463.0,122.69999999999999,15405.0,102.80000000000001,9912.0,2.7,1894326.0,8593758.0,39029678.0,20471.0
2021-10-05,2843,65,24921.0,122.9,13120.0,103.0,11831.0,2.9,1882526.0,8605558.0,36391627.0,20332.0
2021-10-06,3604,51,51886.0,123.5,78702.0,103.69999999999999,13274.0,3.1,1890256.0,8597828.0,35820760.0,19697.0
2021-10-07,3861,43,28749.0,123.69999999999999,17304.0,103.9,13161.0,3.3,1942892.0,8545192.0,40625366.0,21649.0
2021-10-08,4252,49,32459.0,124.0,20562.0,104.1,13208.0,3.6,1906062.0,8582022.0,41572893.0,22295.0
2021-10-09,3417,58,23810.0,124.30000000000001,14330.0,104.2,3503.0,3.6,1948942.0,8539142.0,36521068.0,20042.0
2021-10-10,2562,37,18638.0,124.4,13197.0,104.4,1396.0,3.6,2057235.0,8430849.0,36553419.0,21208.0
2021-10-11,1574,40,22436.0,124.69999999999999,11981.0,104.4,8674.0,3.8,1877629.0,8610455.0,42389584.0,25608.0
2021-10-12,2413,44,33311.0,124.9,16752.0,104.6,10699.0,4.0,1957477.0,8530607.0,38980949.0,23639.0
2021-10-13,3123,55,25974.0,125.1,14614.0,104.8,10408.0,4.2,1916297.0,8571787.0,41036339.0,24457.0
2021-10-14,3274,39,28642.0,125.5,23145.0,105.0,11085.0,4.4,1909990.0,8578094.0,42926539.0,23575.0
2021-10-15,3048,41,28306.0,125.69999999999999,18769.0,105.2,11370.0,4.5,1934180.0,8553904.0,42929416.0,25775.0
2021-10-16,2578,37,17917.0,125.9,12229.0,105.30000000000001,4545.0,4.6,1942732.0,8545352.0,40377549.0,22719.0
2021-10-17,1951,43,15484.0,126.0,8266.0,105.30000000000001,1430.0,4.6,2078035.0,8410049.0,38379103.0,23332.0
2021-10-18,1363,46,25282.0,126.3,20220.0,105.5,7673.0,4.8,1855114.0,8632970.0,43232507.0,23949.0
2021-10-19,1859,40,20181.0,126.5,9872.0,105.69999999999999,9633.0,4.9,1918387.0,8569697.0,40690738.0,23799.0
2021-10-20,2453,52,23404.0,126.69999999999999,16749.0,105.8,9603.0,9.3,1931231.0,8556853.0,43070316.0,24931.0
2021-10-21,2442,33,22969.0,126.9,12929.0,105.9,10111.0,9.7,1913224.0,8574860.0,41696085.0,24702.0
2021-10-22,2249,29,47428.0,127.39999999999999,22214.0,106.2,14746.0,10.1,1877260.0,8610824.0,45274483.0,26625.0
2021-10-23,1928,36,26868.0,127.69999999999999,10103.0,106.2,5589.0,10.3,1982889.0,8505195.0,40555597.0,23815.0
2021-10-24,1586,33,22860.0,127.9,8525.0,106.3,3054.0,10.600000000000001,2021636.0,8466448.0,35971797.0,27833.0
2021-10-25,1172,33,39743.0,128.2,9365.0,106.4,17599.0,11.0,1875514.0,8612570.0,46737951.0,26284.0
2021-10-26,1620,29,39044.0,128.6,8757.0,106.4,22593.0,11.5,1924194.0,8563890.0,44397245.0,24637.0
2021-10-27,2262,33,63521.0,129.2,15632.0,106.6,22802.0,12.2,1936221.0,8551863.0,40828826.0,23551.0
2021-10-28,2200,25,44902.0,129.6,13072.0,106.8,25044.0,12.9,1919073.0,8569011.0,43291348.0,23437.0
2021-10-29,1998,28,45578.0,130.1,13783.0,106.8,356007.0,13.6,1876059.0,8612025.0,45725439.0,26659.0
2021-10-30,1819,28,36091.0,130.4,10720.0,107.0,32056.0,14.2,1941491.0,8546593.0,41526802.0,24088.0
2021-10-31,1281,28,26265.0,130.7,8634.0,107.1,23815.0,14.6,1985339.0,8502745.0,37120466.0,27782.0
2021-11-01,946,22,51329.0,131.2,12194.0,107.1,28508.0,15.1,1900234.0,8587850.0,45158540.0,25259.0
2021-11-02,1460,25,35715.0,131.5,8340.0,107.3,26396.0,15.6,1930987.0,8557097.0,45985771.0,24813.0
2021-11-03,1876,27,40755.0,131.8,11220.0,107.4,36837.0,16.2,1916051.0,8572033.0,44639041.0,24844.0
