state,tot_cases,new_case,tot_death,new_death
AZ,"1,139,627","1,991","20,721",47
MN,0,0,0,0
VT,945,36,54,0
VI,"2,130",24,24,0
ID,0,0,0,0
ID,"179,763",335,"1,957",3
MI,"2,770,359",0,"38,038",0
ID,"233,907",330,"2,472",0
FSM,13,0,0,0
ID,"36,489",396,434,5
IL,"1,425,219","1,870","25,930",6
ID,"305,133",0,"3,891",0
DC,"49,699",47,"1,146",0
DE,"23,701",156,727,4
AZ,1,0,0,0
CA,"141,983","2,702","4,832",63
MI,"2,472,596",0,"36,140",0
VA,"565,270","1,155","7,486",155
MN,"752,060","2,916","8,503",25
ME,"1,583",41,69,3
ME,167,21,0,0
NJ,"1,316,108","4,989","28,643",30
MT,"33,495",694,376,1
NJ,"795,785","3,289","23,321",48
MI,"996,520",261,"20,580",31
SC,"528,145","1,390","8,632",40
AZ,"194,074",469,"4,506",0
NV,"720,739",922,"10,780",3
MT,478,8,16,0
NC,"1,534,125","3,784","19,117",17
CA,"9,084,834","2,761","88,043",87
CA,"3,421,720","5,573","47,537",451
VA,"292,240","3,931","4,508",38
ID,"126,878","1,426","1,259",28
NV,"78,457",602,"1,624",9
DC,"65,159",0,"1,193",0
NJ,"259,525","3,046","16,391",20
ID,"53,092",510,528,-1
MN,"787,550",0,"8,793",0
ME,"232,646",353,"2,147",2
FSM,9,0,0,0
NC,1,1,0,0
AZ,"2,145,765",0,"30,572",0
NJ,"1,962,198","23,109","29,959",106
WI,0,0,0,0
NV,0,0,0,0
DC,"58,649",209,"1,167",0
MT,"294,340",0,"3,467",0
NH,"70,785",280,"1,133",3
NH,"52,307",707,869,0
VA,"285,149","3,240","4,414",3
VA,"1,715,479","2,677","20,280",10
KY,"77,236",971,"1,545",12
VI,"15,636",4,111,0
MN,"765,761","1,846","8,613",32
LA,"136,737",0,"4,430",0
MO,"1,537,658",0,"20,838",0
MN,"1,064,065","7,829","10,906",33
NH,"121,623",430,"1,483",1
WI,"760,401","2,488","8,646",14
NE,"167,233","1,473","1,651",40
DE,"17,354",106,632,0
VA,"1,859,589","6,619","20,521",2
KY,"21,871",552,760,7
SC,2,1,0,0
OR,"166,480",467,"2,391",6
FSM,"9,506",43,29,0
CA,"4,323,858","11,899","64,802",108
OR,"842,352",0,"8,022",0
LA,"1,176,799",508,"17,286",1
CA,"39,254","1,885","1,489",93
MI,"1,150,064","4,736","22,355",30
VA,"697,939","1,165","11,534",1
ME,"49,767",51,736,0
SC,"1,433,580","3,198","16,059",32
NV,"677,345",0,"9,508",0
SC,0,0,0,0
CA,"21,794","1,179",620,39
MI,"1,017,675",981,"21,213",7
NE,"223,079",101,"2,249",1
KY,"1,575,216",818,"16,995",2
MO,"135,414","1,978","2,502",39
ID,"489,400",861,"5,115",6
OR,"197,851",495,"2,613",7
KY,"10,981",242,524,6
RI,"20,356",82,"1,038",4
NV,"173,281","2,694","2,359",40
OR,"654,343",0,"6,214",0
AZ,"940,762","2,826","18,342",42
NV,"793,899","1,227","11,174",10
DC,"65,371",212,"1,194",1
ID,"122,217","1,038","1,194",19
VA,"728,523","2,552","11,632",7
LA,0,0,0,0
MO,"676,803","4,217","9,650",8
ID,"2,769",38,82,0
WI,"20,249",357,633,7
